term,ground_truth,method,prediction,candidates,num_candidates,time_seconds,hit@1,hit@3,hit@5,ndcg@3,ndcg@5,mrr,rank
general econometrics,economic statistics,llm_zero_shot,economic modeling,"[""economic modeling"", ""practical econometrics"", ""economic science"", ""economic theory"", ""individual econometrics""]",5,1.1754381656646729,False,False,False,0.0,0.0,0.0,-1
alliances and joint ventures,strategic partnerships,llm_zero_shot,strategic partnerships,"[""strategic partnerships"", ""financial partnerships"", ""Cooperation"", ""businesses"", ""inter-firm relationships""]",5,1.8464787006378172,True,True,True,1.0,1.0,1.0,1
foreigners,strangers,llm_zero_shot,immigrants,"[""immigrants"", ""strangers"", ""refugees"", ""Turkish immigrants"", ""asylum seekers""]",5,0.9428362846374512,False,True,True,0.6309297535714575,0.6309297535714575,0.5,2
americanization,Americanisation,llm_zero_shot,Americanisation,"[""Americanisation"", ""global culture"", ""cultural adaptation"", ""global economics"", ""global commerce""]",5,0.9867303371429444,True,True,True,1.0,1.0,1.0,1
anxiety,worry,llm_zero_shot,worry,"[""worry"", ""confidence"", ""hostility"", ""feelings"", ""embarrassment""]",5,1.01896333694458,True,True,True,1.0,1.0,1.0,1
"Antarctic, Arctic, Polar Regions",polar areas,llm_zero_shot,polar areas,"[""polar areas"", ""East Europe"", ""Sub-Saharan region"", ""eurozone"", ""conditions""]",5,1.2070627212524414,True,True,True,1.0,1.0,1.0,1
"anthropology and philosophy of religion, relation",relationship between anthropology and religious philosophy,llm_zero_shot,religious studies,"[""religious studies"", ""religious sociology"", ""religious philosophy"", ""religious education theory"", ""religious psychology""]",5,1.2771809101104736,False,False,False,0.0,0.0,0.0,-1
arabic,Arabian,llm_zero_shot,Arabian,"[""Arabian"", ""Islamic studies"", ""East Europe"", ""Anatolian"", ""minority cultures""]",5,1.0349750518798828,True,True,True,1.0,1.0,1.0,1
labour and health,occupational health,llm_zero_shot,occupational health,"[""occupational health"", ""work-related illnesses"", ""work psychology"", ""health psychology"", ""quality of worklife""]",5,1.1318747997283936,True,True,True,1.0,1.0,1.0,1
industrial and organisational psychology,work psychology,llm_zero_shot,occupational psychology,"[""occupational psychology"", ""work psychology"", ""industrial psychology"", ""organizational studies"", ""organizational theory""]",5,1.3237385749816897,False,True,True,0.6309297535714575,0.6309297535714575,0.5,2
working hours,working time,llm_zero_shot,working time,"[""working time"", ""workweek reduction"", ""work-life balance"", ""free time"", ""work motivation""]",5,1.0035779476165771,True,True,True,1.0,1.0,1.0,1
labour economics,employment economics,llm_zero_shot,employment economics,"[""employment economics"", ""employment market"", ""industrial economics"", ""employment policy"", ""labor unions""]",5,1.0871741771697998,True,True,True,1.0,1.0,1.0,1
labour market,employment market,llm_zero_shot,employment market,"[""employment market"", ""employment economics"", ""labor unions"", ""employment participation"", ""employment policy""]",5,1.0497732162475586,True,True,True,1.0,1.0,1.0,1
labour market policy,employment policy,llm_zero_shot,employment policy,"[""employment policy"", ""employment economics"", ""employment market"", ""employment law"", ""employment conditions""]",5,1.0923268795013428,True,True,True,1.0,1.0,1.0,1
labour market issues,employment issues,llm_zero_shot,employment issues,"[""employment issues"", ""employment conditions"", ""employment market"", ""employment economics"", ""employment policy""]",5,1.1667084693908691,True,True,True,1.0,1.0,1.0,1
job motivation,work motivation,llm_zero_shot,work motivation,"[""work motivation"", ""work psychology"", ""occupational psychology"", ""drive"", ""employment participation""]",5,1.0991604328155518,True,True,True,1.0,1.0,1.0,1
working conditions,employment conditions,llm_zero_shot,employment conditions,"[""employment conditions"", ""occupational health"", ""occupational psychology"", ""employment issues"", ""employment economics""]",5,0.9782404899597168,True,True,True,1.0,1.0,1.0,1
work participation,employment participation,llm_zero_shot,worker participation,"[""worker participation"", ""employment participation"", ""employment market"", ""employment policy"", ""employment economics""]",5,1.1098265647888184,False,True,True,0.6309297535714575,0.6309297535714575,0.5,2
labour law,employment law,llm_zero_shot,employment law,"[""employment law"", ""employment policy"", ""global employment law"", ""employment conditions"", ""business law""]",5,1.034360647201538,True,True,True,1.0,1.0,1.0,1
reduction of working hours,workweek reduction,llm_zero_shot,work-life balance,"[""work-life balance"", ""workweek reduction"", ""working time"", ""short-term employment"", ""work-life conflict""]",5,1.057438611984253,False,True,True,0.6309297535714575,0.6309297535714575,0.5,2
industrial/labour relations,employment relations,llm_zero_shot,employment relations,"[""employment relations"", ""industrial economics"", ""employment economics"", ""inter-firm relationships"", ""industrial psychology""]",5,1.0334501266479492,True,True,True,1.0,1.0,1.0,1
working conditions creation,quality of worklife,llm_zero_shot,occupational health,"[""occupational health"", ""employment policy"", ""regulatory law"", ""employment participation"", ""responsibility law""]",5,1.1984236240386963,False,False,False,0.0,0.0,0.0,-1
labour issues,employment issues,llm_zero_shot,employment issues,"[""employment issues"", ""disputes"", ""employment conditions"", ""work psychology"", ""employment relations""]",5,1.8952772617340088,True,True,True,1.0,1.0,1.0,1
arbitration,dispute arbitration,llm_zero_shot,dispute resolution,"[""dispute resolution"", ""negotiation"", ""disputes"", ""e-mediation"", ""conflict resolution""]",5,1.0097541809082031,False,False,False,0.0,0.0,0.0,-1
reasoning,logical argumentation,llm_zero_shot,logical argumentation,"[""logical argumentation"", ""limited rationality"", ""Bayesian inference"", ""logical fallacies"", ""mental science""]",5,0.9103500843048096,True,True,True,1.0,1.0,1.0,1
aristoteles,Aristotle,llm_zero_shot,Aristotle,"[""Aristotle"", ""Scholastic philosopher"", ""literary philosopher"", ""contemporary philosopher"", ""philosophical texts""]",5,1.1238954067230225,True,True,True,1.0,1.0,1.0,1
poverty,destitution,llm_zero_shot,joblessness,"[""joblessness"", ""social exclusion"", ""welfare"", ""contemporary piety"", ""exhaustion""]",5,0.9988045692443848,False,False,False,0.0,0.0,0.0,-1
asylum seekers,refugees,llm_zero_shot,refugees,"[""refugees"", ""Asylum law"", ""immigrants"", ""Turkish immigrants"", ""humanitarian aid""]",5,1.1106383800506592,True,True,True,1.0,1.0,1.0,1
asset liability management,balance sheet management,llm_zero_shot,risk management,"[""risk management"", ""financial management"", ""stock management"", ""financial accounting"", ""financial policy""]",5,0.9772720336914062,False,False,False,0.0,0.0,0.0,-1
attitudes,mindset,llm_zero_shot,disposition,"[""disposition"", ""sight perception"", ""interpretation"", ""reasoning"", ""facial cues""]",5,0.8867113590240479,False,False,False,0.0,0.0,0.0,-1
auditory perception,hearing perception,llm_zero_shot,hearing perception,"[""hearing perception"", ""sound system study"", ""sight perception"", ""sensory awareness"", ""psycholinguistics""]",5,1.0112369060516355,True,True,True,1.0,1.0,1.0,1
augustine,St. Augustine,llm_zero_shot,St. Augustine,"[""St. Augustine"", ""applied theology"", ""early theologians"", ""doctrinal theology"", ""theological literature""]",5,1.0887386798858645,True,True,True,1.0,1.0,1.0,1
automatic language analysis,computational linguistics,llm_zero_shot,text analysis,"[""text analysis"", ""language processing systems"", ""language learning"", ""data analysis"", ""automated parsing""]",5,0.9967575073242188,False,False,False,0.0,0.0,0.0,-1
automation,mechanization,llm_zero_shot,mechanization,"[""mechanization"", ""process optimization"", ""automated learning"", ""computing systems"", ""manufacturing process management""]",5,0.9483680725097656,True,True,True,1.0,1.0,1.0,1
autonomy and moral,self-governance and ethics,llm_zero_shot,self-governance and ethics,"[""self-governance and ethics"", ""social ethics"", ""moral philosophy"", ""ethical management"", ""corporate ethics""]",5,1.0884411334991455,True,True,True,1.0,1.0,1.0,1
bank - firm relationships,financial partnerships,llm_zero_shot,strategic partnerships,"[""strategic partnerships"", ""financial partnerships"", ""inter-firm relationships"", ""businesses"", ""interconnected industries""]",5,0.9414324760437012,False,True,True,0.6309297535714575,0.6309297535714575,0.5,2
banking law,financial law,llm_zero_shot,financial regulation,"[""financial regulation"", ""financial law"", ""financial policy"", ""government finance"", ""financial systems""]",5,1.000967025756836,False,True,True,0.6309297535714575,0.6309297535714575,0.5,2
banking systems,financial systems,llm_zero_shot,financial systems,"[""financial systems"", ""financial management"", ""financial instruments"", ""financial economics"", ""financial structure""]",5,0.9658222198486328,True,True,True,1.0,1.0,1.0,1
primary education,elementary education,llm_zero_shot,elementary education,"[""elementary education"", ""schooling"", ""educational technology"", ""educational sociology"", ""arts instruction""]",5,0.9779808521270752,True,True,True,1.0,1.0,1.0,1
bayesian statistics,Bayesian inference,llm_zero_shot,Bayesian inference,"[""Bayesian inference"", ""information modeling"", ""statistical techniques"", ""computational models"", ""autonomous learning""]",5,1.1165153980255127,True,True,True,1.0,1.0,1.0,1
corporate policy and strategy,business strategy,llm_zero_shot,business strategy,"[""business strategy"", ""marketing strategy"", ""market strategy"", ""strategic planning"", ""business creation""]",5,0.9653289318084716,True,True,True,1.0,1.0,1.0,1
business communication and ethics,corporate communication ethics,llm_zero_shot,corporate communication ethics,"[""corporate communication ethics"", ""corporate ethics"", ""professional ethics"", ""ethical management"", ""corporate conscience""]",5,1.2898046970367432,True,True,True,1.0,1.0,1.0,1
business modelling,business analytics,llm_zero_shot,business strategy,"[""business strategy"", ""market strategy"", ""marketing strategy"", ""organizational structure"", ""organizational theory""]",5,0.9548904895782472,False,False,False,0.0,0.0,0.0,-1
business economics,managerial economics,llm_zero_shot,business finance,"[""business finance"", ""financial economics"", ""economic science"", ""industrial economics"", ""market analysis""]",5,0.9327740669250488,False,False,False,0.0,0.0,0.0,-1
business ethics,corporate ethics,llm_zero_shot,ethical management,"[""ethical management"", ""corporate ethics"", ""ethical accountability"", ""ethical marketing"", ""social ethics""]",5,1.0445740222930908,False,True,True,0.6309297535714575,0.6309297535714575,0.5,2
business studies,business administration,llm_zero_shot,corporate management,"[""corporate management"", ""organizational structure"", ""organizational studies"", ""business administration"", ""organizational theory""]",5,0.9431147575378418,False,False,True,0.0,0.430676558073393,0.25,4
Firm relocation,business relocation,llm_zero_shot,organizational transformation,"[""organizational transformation"", ""corporate consolidation"", ""reorganisation"", ""organizational growth"", ""corporate management""]",5,1.0405488014221191,False,False,False,0.0,0.0,0.0,-1
companies,businesses,llm_zero_shot,businesses,"[""businesses"", ""small businesses"", ""corporate management"", ""organizational structure"", ""sociology of organizations""]",5,0.8962669372558594,True,True,True,1.0,1.0,1.0,1
bounded rationality,limited rationality,llm_zero_shot,limited rationality,"[""limited rationality"", ""cognitive psychology"", ""cognitive effort"", ""decision process"", ""cognitive psychology theory""]",5,1.2466330528259275,True,True,True,1.0,1.0,1.0,1
information systems management,IT management,llm_zero_shot,IT management,"[""IT management"", ""information technology"", ""IT administration"", ""data management systems"", ""data management""]",5,0.9793565273284912,True,True,True,1.0,1.0,1.0,1
taxes,levies,llm_zero_shot,assessment,"[""assessment"", ""income tax"", ""company tax"", ""earnings tax"", ""global tax law""]",5,0.982541561126709,False,False,False,0.0,0.0,0.0,-1
tax law,fiscal law,llm_zero_shot,fiscal law,"[""fiscal law"", ""income tax"", ""EU tax regulations"", ""global tax law"", ""financial regulation""]",5,0.9434008598327636,True,True,True,1.0,1.0,1.0,1
investment,investing,llm_zero_shot,facilities,"[""facilities"", ""capital markets"", ""income allocation"", ""funding"", ""budgetary policy""]",5,0.9108426570892334,False,False,False,0.0,0.0,0.0,-1
investor behaviour,Investor psychology,llm_zero_shot,Investor psychology,"[""Investor psychology"", ""investment theory"", ""investing"", ""uncertain investments"", ""investment evaluation""]",5,1.0234105587005615,True,True,True,1.0,1.0,1.0,1
mutual fund,investment fund,llm_zero_shot,investment fund,"[""investment fund"", ""investment funds"", ""investing"", ""uncertain investments"", ""investment theory""]",5,1.04227614402771,True,True,True,1.0,1.0,1.0,1
policy evaluation,policy analysis,llm_zero_shot,policy analysis,"[""policy analysis"", ""public policy"", ""regulatory law"", ""assessment"", ""health policy""]",5,1.0970537662506104,True,True,True,1.0,1.0,1.0,1
mediation,conflict resolution,llm_zero_shot,conflict resolution,"[""conflict resolution"", ""dispute resolution"", ""negotiation"", ""dispute arbitration"", ""disputes""]",5,1.0390450954437256,True,True,True,1.0,1.0,1.0,1
assertive outreach,proactive engagement,llm_zero_shot,proactive engagement,"[""proactive engagement"", ""hostility"", ""aggression"", ""communication channels"", ""conflict resolution""]",5,1.0625932216644287,True,True,True,1.0,1.0,1.0,1
berber language,Tamazight,llm_zero_shot,Tamazight,"[""Tamazight"", ""Arabian"", ""IdM"", ""Teutonic"", ""Sub-Saharan region""]",5,1.0856730937957764,True,True,True,1.0,1.0,1.0,1
occupational ethics,professional ethics,llm_zero_shot,professional ethics,"[""professional ethics"", ""corporate ethics"", ""ethical management"", ""social ethics"", ""tech ethics""]",5,1.121842861175537,True,True,True,1.0,1.0,1.0,1
Occupational ethics for ministers,ministerial ethics,llm_zero_shot,Ecclesiastical leadership,"[""Ecclesiastical leadership"", ""ministerial ethics"", ""sociology of pastoral care"", ""spiritual leadership"", ""Pastoral Counseling Psychology""]",5,1.086581468582153,False,True,True,0.6309297535714575,0.6309297535714575,0.5,2
occupational diseases,work-related illnesses,llm_zero_shot,work-related illnesses,"[""work-related illnesses"", ""occupational health"", ""employment issues"", ""long-term illnesses"", ""employment conditions""]",5,1.0845434665679932,True,True,True,1.0,1.0,1.0,1
protected species,endangered species,llm_zero_shot,endangered species,"[""endangered species"", ""natural diversity"", ""ecological criminal law"", ""native communities"", ""ecological law""]",5,1.0301556587219238,True,True,True,1.0,1.0,1.0,1
decision theory,decision analysis,llm_zero_shot,decision process,"[""decision process"", ""decision analysis"", ""evolving game theory"", ""risk management"", ""risk assessment models""]",5,1.0073785781860352,False,True,True,0.6309297535714575,0.6309297535714575,0.5,2
decision support systems,decision aid systems,llm_zero_shot,decision aid systems,"[""decision aid systems"", ""decision process"", ""knowledge systems"", ""business analytics"", ""machine intelligence""]",5,1.035200595855713,True,True,True,1.0,1.0,1.0,1
decision making,decision process,llm_zero_shot,decision process,"[""decision process"", ""decision analysis"", ""decision aid systems"", ""mental processes"", ""strategic planning""]",5,1.0292675495147705,True,True,True,1.0,1.0,1.0,1
information management and technology,information systems management,llm_zero_shot,information systems management,"[""information systems management"", ""IT management"", ""information technology"", ""data management"", ""IT administration""]",5,1.0488853454589844,True,True,True,1.0,1.0,1.0,1
administrative reform,bureaucratic reform,llm_zero_shot,bureaucratic reform,"[""bureaucratic reform"", ""reorganisation"", ""policy analysis"", ""public policy"", ""administration""]",5,0.9805591106414796,True,True,True,1.0,1.0,1.0,1
management of non-profit organisations,non-profit management,llm_zero_shot,charitable sector,"[""charitable sector"", ""non-profit management"", ""charitable organizations"", ""administration"", ""governance""]",5,1.155813455581665,False,True,True,0.6309297535714575,0.6309297535714575,0.5,2
public administration,administrative organisation,llm_zero_shot,administration,"[""administration"", ""administrative organisation"", ""governance"", ""IT administration"", ""business administration""]",5,1.03529691696167,False,True,True,0.6309297535714575,0.6309297535714575,0.5,2
administrative procedural law,administrative litigation,llm_zero_shot,regulatory law,"[""regulatory law"", ""regulatory economics"", ""bureaucratic reform"", ""financial regulation"", ""administrative organisation""]",5,1.158785104751587,False,False,False,0.0,0.0,0.0,-1
consciousness,awareness,llm_zero_shot,awareness,"[""awareness"", ""self-awareness"", ""cognitive psychology"", ""sensory awareness"", ""sight perception""]",5,0.9398317337036132,True,True,True,1.0,1.0,1.0,1
bible (studies),biblical studies,llm_zero_shot,biblical studies,"[""biblical studies"", ""New Testament studies"", ""Bible interpretation"", ""religious studies"", ""theological literature""]",5,1.133684158325195,True,True,True,1.0,1.0,1.0,1
bible as literature,scriptural literature,llm_zero_shot,scriptural literature,"[""scriptural literature"", ""Christian Scriptures"", ""theological literature"", ""scripture translations"", ""Bible interpretation""]",5,1.031691312789917,True,True,True,1.0,1.0,1.0,1
Bible and culture,scriptural influence on culture,llm_zero_shot,religious tradition,"[""religious tradition"", ""religious ceremonies"", ""cultural legacy"", ""faith-based groups"", ""Christian cultural studies""]",5,1.06756854057312,False,False,False,0.0,0.0,0.0,-1
bible translations,scripture translations,llm_zero_shot,scripture translations,"[""scripture translations"", ""Bible interpretation"", ""Christian Scriptures"", ""Hebrew Bible"", ""biblical studies""]",5,1.1073317527770996,True,True,True,1.0,1.0,1.0,1
bible studies; exegesis,Bible interpretation,llm_zero_shot,New Testament studies,"[""New Testament studies"", ""Bible interpretation"", ""biblical studies"", ""text analysis"", ""literary analysis""]",5,1.123072862625122,False,True,True,0.6309297535714575,0.6309297535714575,0.5,2
bible studies; new testament,New Testament studies,llm_zero_shot,New Testament studies,"[""New Testament studies"", ""biblical studies"", ""Christian Scriptures"", ""early Christian texts"", ""Hebrew Bible""]",5,1.2171823978424072,True,True,True,1.0,1.0,1.0,1
biodiversity,natural diversity,llm_zero_shot,natural diversity,"[""natural diversity"", ""diversity"", ""cultural diversity"", ""heritage and progress"", ""diverse society""]",5,0.9861819744110109,True,True,True,1.0,1.0,1.0,1
"Blanchot, Maurice (1907-2003)",literary philosopher,llm_zero_shot,literary philosopher,"[""literary philosopher"", ""existential philosopher"", ""contemporary philosopher"", ""Scholastic philosopher"", ""philosophical texts""]",5,1.3418238162994385,True,True,True,1.0,1.0,1.0,1
urban planning and building law,city planning regulations,llm_zero_shot,city planning regulations,"[""city planning regulations"", ""city planning"", ""local government law"", ""Municipal governance"", ""environmental protection law""]",5,1.245861291885376,True,True,True,1.0,1.0,1.0,1
brabant,Brabant region,llm_zero_shot,Brabant region,"[""Brabant region"", ""Brabant heritage"", ""Dutch language"", ""East Europe"", ""Regional language and society""]",5,0.9656684398651124,True,True,True,1.0,1.0,1.0,1
Letter of James,Epistle of James,llm_zero_shot,Epistle of James,"[""Epistle of James"", ""Hebrew Bible"", ""ancient Hebrew"", ""Matthew, James, and Didache"", ""John the Apostle""]",5,1.1674017906188965,True,True,True,1.0,1.0,1.0,1
law of civil procedure,civil litigation law,llm_zero_shot,civil law,"[""civil law"", ""criminal procedural law"", ""civil litigation law"", ""Civil law methodology"", ""legal procedure""]",5,1.1488378047943115,False,True,True,0.5,0.5,0.3333333333333333,3
alcohol addiction,alcohol dependence,agent_tool_calling,alcohol dependence,"[""alcohol dependence"", ""substance dependence"", ""substance abuse treatment"", ""compulsive gambling"", ""remorse""]",5,2.2565438747406006,True,True,True,1.0,1.0,1.0,1
general econometrics,economic statistics,agent_tool_calling,practical econometrics,"[""practical econometrics"", ""individual econometrics"", ""economic statistics"", ""economic modeling"", ""individual economics""]",5,1.6504554748535156,False,True,True,0.5,0.5,0.3333333333333333,3
alliances and joint ventures,strategic partnerships,agent_tool_calling,strategic partnerships,"[""strategic partnerships"", ""financial partnerships"", ""inter-firm relationships"", ""Cooperation"", ""strategic interaction theory""]",5,2.281693696975708,True,True,True,1.0,1.0,1.0,1
foreigners,strangers,agent_tool_calling,immigrants,"[""immigrants"", ""nationality"", ""Turkish immigrants"", ""refugees"", ""Americanisation""]",5,1.494387149810791,False,False,False,0.0,0.0,0.0,-1
americanization,Americanisation,agent_tool_calling,Americanisation,"[""Americanisation"", ""nationhood"", ""modernisation"", ""immigrants"", ""nationality""]",5,1.5176801681518557,True,True,True,1.0,1.0,1.0,1
anxiety,worry,agent_tool_calling,psychological disorders,"[""psychological disorders"", ""emotional exhaustion"", ""melancholy"", ""stress control"", ""emotional well-being""]",5,2.0732314586639404,False,False,False,0.0,0.0,0.0,-1
"Antarctic, Arctic, Polar Regions",polar areas,agent_tool_calling,polar areas,"[""polar areas"", ""East Europe"", ""regional administration"", ""Sub-Saharan region"", ""Regional language and society""]",5,2.696120023727417,True,True,True,1.0,1.0,1.0,1
"anthropology and philosophy of religion, relation",relationship between anthropology and religious philosophy,agent_tool_calling,relationship between anthropology and religious philosophy,"[""relationship between anthropology and religious philosophy"", ""religious philosophy"", ""religious sociology"", ""religious psychology"", ""religious studies""]",5,1.7365670204162598,True,True,True,1.0,1.0,1.0,1
arabic,Arabian,agent_tool_calling,Arabian,"[""Arabian"", ""ancient Hebrew"", ""Hebrew Bible"", ""minority languages"", ""Tanakh""]",5,2.620094060897827,True,True,True,1.0,1.0,1.0,1
labour and health,occupational health,agent_tool_calling,occupational health,"[""occupational health"", ""labor unions"", ""childbirth"", ""work-related illnesses"", ""health economics""]",5,2.1400492191314697,True,True,True,1.0,1.0,1.0,1
industrial and organisational psychology,work psychology,agent_tool_calling,industrial psychology,"[""industrial psychology"", ""occupational psychology"", ""work psychology"", ""organizational studies"", ""industrial economics""]",5,2.4872066974639893,False,True,True,0.5,0.5,0.3333333333333333,3
working hours,working time,agent_tool_calling,working time,"[""working time"", ""work quality"", ""work psychology"", ""workweek reduction"", ""employment conditions""]",5,2.7385363578796387,True,True,True,1.0,1.0,1.0,1
labour economics,employment economics,agent_tool_calling,employment economics,"[""employment economics"", ""industrial economics"", ""labor unions"", ""government economics"", ""national economics""]",5,2.207360982894897,True,True,True,1.0,1.0,1.0,1
labour market,employment market,agent_tool_calling,employment market,"[""employment market"", ""employment economics"", ""labor unions"", ""industrial economics"", ""digital labor""]",5,1.68098783493042,True,True,True,1.0,1.0,1.0,1
labour market policy,employment policy,agent_tool_calling,employment policy,"[""employment policy"", ""employment economics"", ""employment market"", ""labor unions"", ""policy analysis""]",5,2.1652212142944336,True,True,True,1.0,1.0,1.0,1
labour market issues,employment issues,agent_tool_calling,employment issues,"[""employment issues"", ""employment market"", ""employment economics"", ""labor unions"", ""employment conditions""]",5,2.433929204940796,True,True,True,1.0,1.0,1.0,1
job motivation,work motivation,agent_tool_calling,work motivation,"[""work motivation"", ""work psychology"", ""joblessness"", ""employment participation"", ""workplace loyalty""]",5,3.954512357711792,True,True,True,1.0,1.0,1.0,1
working conditions,employment conditions,agent_tool_calling,conditions,"[""conditions"", ""employment conditions"", ""economic condition"", ""employment issues"", ""working time""]",5,2.0835468769073486,False,True,True,0.6309297535714575,0.6309297535714575,0.5,2
work participation,employment participation,agent_tool_calling,worker participation,"[""worker participation"", ""employment participation"", ""work motivation"", ""working time"", ""work psychology""]",5,1.5592575073242188,False,True,True,0.6309297535714575,0.6309297535714575,0.5,2
labour law,employment law,agent_tool_calling,employment law,"[""employment law"", ""global employment law"", ""contract law"", ""labor unions"", ""business law""]",5,1.604247808456421,True,True,True,1.0,1.0,1.0,1
reduction of working hours,workweek reduction,agent_tool_calling,workweek reduction,"[""workweek reduction"", ""working time"", ""quality of worklife"", ""worker participation"", ""work-life balance""]",5,2.3285071849823,True,True,True,1.0,1.0,1.0,1
industrial/labour relations,employment relations,agent_tool_calling,employment relations,"[""employment relations"", ""industrial economics"", ""labor unions"", ""industrial psychology"", ""employment economics""]",5,2.28671669960022,True,True,True,1.0,1.0,1.0,1
working conditions creation,quality of worklife,agent_tool_calling,employment conditions,"[""employment conditions"", ""conditions"", ""economic condition"", ""employment policy"", ""employment law""]",5,2.1749539375305176,False,False,False,0.0,0.0,0.0,-1
labour issues,employment issues,agent_tool_calling,employment issues,"[""employment issues"", ""labor unions"", ""worker participation"", ""employment conditions"", ""welfare politics""]",5,2.1191914081573486,True,True,True,1.0,1.0,1.0,1
arbitration,dispute arbitration,agent_tool_calling,dispute arbitration,"[""dispute arbitration"", ""disputes"", ""dispute resolution"", ""jurisprudence"", ""civil litigation law""]",5,2.3175296783447266,True,True,True,1.0,1.0,1.0,1
reasoning,logical argumentation,agent_tool_calling,logical argumentation,"[""logical argumentation"", ""mental science"", ""logical fallacies"", ""cognitive psychology"", ""theory of knowledge""]",5,3.5045809745788574,True,True,True,1.0,1.0,1.0,1
aristoteles,Aristotle,agent_tool_calling,Aristotle,"[""Aristotle"", ""Anatolian"", ""Castilian"", ""St. Augustine"", ""ecclesiastical Latin""]",5,2.3570780754089355,True,True,True,1.0,1.0,1.0,1
poverty,destitution,agent_tool_calling,welfare,"[""welfare"", ""income disparity"", ""welfare system"", ""households"", ""family economics""]",5,2.943727731704712,False,False,False,0.0,0.0,0.0,-1
asylum seekers,refugees,agent_tool_calling,refugees,"[""refugees"", ""Asylum law"", ""immigrants"", ""immigration law"", ""Turkish immigrants""]",5,3.4628548622131348,True,True,True,1.0,1.0,1.0,1
asset liability management,balance sheet management,agent_tool_calling,asset valuation,"[""asset valuation"", ""risk management"", ""financial management"", ""asset tax"", ""financial accounting""]",5,1.8162264823913572,False,False,False,0.0,0.0,0.0,-1
attitudes,mindset,agent_tool_calling,persuasion,"[""persuasion"", ""mindset"", ""Social understanding"", ""cognitive psychology"", ""consumer psychology""]",5,2.085127115249634,False,True,True,0.6309297535714575,0.6309297535714575,0.5,2
auditory perception,hearing perception,agent_tool_calling,hearing perception,"[""hearing perception"", ""sight perception"", ""sensory awareness"", ""sound system study"", ""language cognition""]",5,2.230332612991333,True,True,True,1.0,1.0,1.0,1
augustine,St. Augustine,agent_tool_calling,St. Augustine,"[""St. Augustine"", ""Aristotle"", ""John the Apostle"", ""ecclesiastical Latin"", ""Christian history""]",5,2.334084987640381,True,True,True,1.0,1.0,1.0,1
automatic language analysis,computational linguistics,agent_tool_calling,text analysis,"[""text analysis"", ""language processing systems"", ""automated parsing"", ""computational linguistics"", ""linguistic morphology""]",5,1.735133171081543,False,False,True,0.0,0.430676558073393,0.25,4
automation,mechanization,agent_tool_calling,automated learning,"[""automated learning"", ""smart interfaces"", ""machine intelligence"", ""human-computer interaction"", ""computing systems""]",5,2.650918960571289,False,False,False,0.0,0.0,0.0,-1
autonomy and moral,self-governance and ethics,agent_tool_calling,moral philosophy,"[""moral philosophy"", ""self-governance and ethics"", ""social ethics"", ""moral culpability"", ""ethical management""]",5,2.367027997970581,False,True,True,0.6309297535714575,0.6309297535714575,0.5,2
bank - firm relationships,financial partnerships,agent_tool_calling,inter-firm relationships,"[""inter-firm relationships"", ""financial partnerships"", ""business finance"", ""financial systems"", ""financial structure""]",5,2.101290225982666,False,True,True,0.6309297535714575,0.6309297535714575,0.5,2
banking law,financial law,agent_tool_calling,financial law,"[""financial law"", ""bankruptcy law"", ""financial regulation"", ""business law"", ""economic law""]",5,1.5967342853546145,True,True,True,1.0,1.0,1.0,1
banking systems,financial systems,agent_tool_calling,financial systems,"[""financial systems"", ""financial instruments"", ""government finance"", ""credit infrastructure"", ""business finance""]",5,1.8029589653015137,True,True,True,1.0,1.0,1.0,1
primary education,elementary education,agent_tool_calling,elementary education,"[""elementary education"", ""schooling"", ""educational technology"", ""educational sociology"", ""native language education""]",5,2.062161684036255,True,True,True,1.0,1.0,1.0,1
bayesian statistics,Bayesian inference,agent_tool_calling,Bayesian inference,"[""Bayesian inference"", ""statistical mathematics"", ""statistical techniques"", ""economic statistics"", ""estimation""]",5,2.081077337265014,True,True,True,1.0,1.0,1.0,1
corporate policy and strategy,business strategy,agent_tool_calling,business strategy,"[""business strategy"", ""corporate management"", ""policy analysis"", ""market strategy"", ""strategic planning""]",5,2.188362598419189,True,True,True,1.0,1.0,1.0,1
business communication and ethics,corporate communication ethics,agent_tool_calling,corporate communication ethics,"[""corporate communication ethics"", ""corporate ethics"", ""professional ethics"", ""ethical marketing"", ""ethical management""]",5,2.115427732467652,True,True,True,1.0,1.0,1.0,1
business modelling,business analytics,agent_tool_calling,business simulations,"[""business simulations"", ""financial modeling"", ""economic modeling"", ""business creation"", ""business frameworks""]",5,2.2975432872772217,False,False,False,0.0,0.0,0.0,-1
business economics,managerial economics,agent_tool_calling,economic science,"[""economic science"", ""managerial economics"", ""industrial economics"", ""financial economics"", ""individual economics""]",5,1.592090368270874,False,True,True,0.6309297535714575,0.6309297535714575,0.5,2
business ethics,corporate ethics,agent_tool_calling,corporate ethics,"[""corporate ethics"", ""ethical management"", ""professional ethics"", ""ethical marketing"", ""corporate communication ethics""]",5,2.8677563667297363,True,True,True,1.0,1.0,1.0,1
business studies,business administration,agent_tool_calling,organizational studies,"[""organizational studies"", ""businesses"", ""business finance"", ""business creation"", ""business administration""]",5,1.981122732162476,False,False,True,0.0,0.3868528072345416,0.2,5
